country,education_index,rank_happiness,happiness_score,gdp_per_capita_log,social_support,healthy_life_exp,freedom_choices,generosity,corruption_perception,literacy_rate_pct,gov_expenditure_edu_pct_gdp,school_enrollment_secondary_pct,school_enrollment_tertiary_pct,tertiary_attainment_pct,gini_coefficient,pisa_score_avg
Saint Vincent and the Grenadines,0.684,,,,,,,,,,6.4582691706334,125.381038491346,41.4983277591973,5.66,,
Samoa,0.713,,,,,,,,,,6.1096302676416,87.3532286947715,14.6106638814429,16.22,,
San Marino,,,,,,,,,,,2.89753007888794,60.7940446650124,51.1357340720222,18.71,,
Saudi Arabia,0.789,32.0,6.6,1.743,1.566,0.714,0.915,0.105,0.187,,4.48087978363037,122.158039993668,73.7492065429688,40.06,,397.3
Senegal,0.345,107.0,4.856,0.907,0.977,0.433,0.767,0.129,0.09,,6.16277045366329,44.0673682244069,16.0710053721835,6.4,38.1,
Serbia,0.783,31.0,6.606,1.489,1.62,0.545,0.767,0.131,0.107,,3.40377998352051,91.9540023803711,73.2060012817383,18.07,33.3,441.7
Seychelles,0.726,,,,,,,,,95.9,4.45409960547034,74.2514404458298,14.0341370902195,19.5,,
Sierra Leone,0.406,146.0,2.998,0.786,0.692,0.327,0.613,0.138,0.052,,2.62455277942046,86.9079513549805,,1.67,35.7,
Singapore,0.924,34.0,6.565,2.022,1.565,0.935,0.856,0.164,0.522,,2.1037700176239,103.082801906213,97.2886546863037,48.32,,559.7
Sint Maarten (Dutch part),,,,,,,,,,,3.92363832601723,111.371100164204,7.65284309533989,,,
Slovakia,0.826,50.0,6.221,1.629,1.762,0.547,0.704,0.058,0.07,,4.65688991546631,92.6436767578125,53.417610168457,25.0,24.1,472.3
Slovenia,0.91,19.0,6.792,1.692,1.718,0.802,0.961,0.121,0.113,,5.28065013885498,107.626876831055,80.0806884765625,28.63,24.6,491.7
Solomon Islands,0.474,,,,,,,,,,8.29349080062944,49.0498504638672,,12.82,,
Somalia,,122.0,4.347,0.535,0.877,0.046,0.916,0.206,0.192,,,,,,,
South Africa,0.724,95.0,5.213,1.283,1.465,0.142,0.676,0.064,0.043,,6.12347984313965,104.133480684239,23.493768799339,12.25,63.0,
South Korea,,58.0,6.038,1.709,1.357,0.903,0.678,0.1,0.139,,5.40910005569458,96.2983932495117,106.709167480469,41.77,31.4,523.3
